,F_f,F_u,F_in,rho_u,T_o,tau_imp,h_bm
0,7.3,98.55,135.37,1.06,2753.1,10,36.8
1,7.1,97.45,149.87,1.05,2938.1,9.5,36
2,7.1,99.44,147.23,1.11,2806,9.7,36.2
3,7.1,90.18,150,1.09,2828.6,9.8,36
4,7.2,99.16,133.47,1.1,3057.5,9.7,36
5,7,94.44,139.42,1.08,2883.9,9.9,36.5
6,7.2,94.39,150.12,1.09,2927.7,9.7,36.6
7,7.3,97.87,140.27,1.06,3030.2,9.9,36.2
8,7.5,95.51,135.65,1.08,2883.4,9.5,36.1
9,7,91.31,147.66,1.11,2712.1,9.5,36
10,7.4,93.48,131.53,1.07,3060.9,9.7,36.6
11,7.4,92.16,147.44,1.06,2763.2,10.2,36.4
12,7,90.89,147.38,1.09,3000.1,10,36
13,7.2,91.63,134.68,1.09,2782.4,9.8,36.5
14,7.4,98.39,144.84,1.06,3072.3,9.8,36
15,7,97.45,133.91,1.1,2714.3,9.7,36.5
16,7.4,95.24,148.61,1.07,2905.8,9.5,36
17,7.5,98.73,135.51,1.09,2807.3,9.5,36.5
18,7.5,95.11,142.41,1.11,3091,9.5,36.5
19,7.3,98.19,136.82,1.1,3101.5,9.6,36.6
20,7.5,99.77,132.32,1.1,3065.6,9.8,36.6
21,7.1,97.54,144.95,1.08,2786.5,9.6,36.2
22,7.5,99.3,143.61,1.05,2808.7,10.2,36.6
23,7,91.55,138.94,1.09,2780.6,10.2,36.1
24,7.5,97.88,131.61,1.05,2841.8,9.5,36.3
25,7,95.5,131.64,1.08,2867.9,9.9,36.8
26,7.5,95.26,150.94,1.06,2705.3,9.8,36.8
27,7.3,90.67,134.89,1.05,2734.1,9.6,36.6
28,7.1,98.16,138.48,1.11,2945.4,9.5,36.6
29,7.5,95.6,145.28,1.07,3102.1,10.2,36.1
30,7,91.24,136.13,1.07,3082,10.2,36.8
31,7.1,96.39,146.37,1.11,2755.7,9.5,36.9
32,7,98.91,136.12,1.05,2776.7,9.6,36.4
33,7.3,96.77,135.78,1.07,2833.7,9.7,36.4
34,7.5,93.72,143.51,1.07,3067.7,10.1,36.3
35,7.5,94.75,140.3,1.09,2872.5,10.2,36.8
36,7.1,98.55,141.16,1.06,2815.8,10.2,36.1
37,7.2,92.44,137.44,1.09,3031.2,9.9,36
38,7.5,93.78,142.81,1.09,2856.2,9.5,36.4
39,7.1,92.77,132.56,1.07,2848.8,9.5,36.1
40,7.3,94.57,134.1,1.11,2883.7,9.9,36.8
41,7.3,91.69,131.46,1.08,2887.1,9.6,36.8
42,7.4,99.63,147.32,1.09,2907.8,9.5,36.3
43,7.5,91.52,144.45,1.11,2817.3,9.6,36.7
44,7.3,94.61,136.8,1.11,2913.9,9.5,36.1
45,7.4,93.37,150.68,1.05,2748.5,9.8,36.2
46,7,92.74,139.9,1.11,2976,9.6,36.9
47,7.2,98.23,131.34,1.11,2838.5,9.9,36.8
48,7.5,97.71,149.91,1.07,2919.5,9.5,36
49,7,96.59,148.45,1.1,2901.8,9.5,36.5
50,7.3,90.75,141.68,1.11,3070.9,9.6,36.8
51,7.5,98.81,130.63,1.1,2928.5,10,36.5
52,7.4,97.86,135.23,1.1,2715.6,10.1,36.2
53,7.3,92.91,142.55,1.09,2808,9.5,36.5
54,7.1,96.29,138.18,1.1,2821.5,9.9,36.7
55,7.1,93.77,143.93,1.06,2853.5,10.2,36.9
56,7.3,96.2,139.97,1.05,2882.3,9.5,36.9
57,7.4,99.71,141.97,1.11,2929,9.7,36.2
58,7.4,91.89,150.63,1.05,3080.1,10.1,36.8
59,7.2,99.16,142.78,1.09,2763.9,9.5,36.3
60,7.2,94.26,150.79,1.07,2946.9,9.5,36.7
61,7.1,91.95,144.86,1.1,3014.1,9.5,36.4
62,7.2,94.46,145.79,1.1,3040.4,9.6,36.7
63,7.4,98.17,144.26,1.07,2942.5,10,36.2
64,7,98.85,135.34,1.09,3081.2,9.7,36.8
65,7.4,95.26,149.16,1.08,2788.8,9.6,36.7
66,7.4,98.14,133.43,1.09,3046.8,9.7,36.4
67,7,94.33,144.96,1.05,3084.9,10.2,36.6
68,7,94.49,148.3,1.08,3012.3,9.7,36
69,7.2,90.58,135.12,1.11,2742.5,9.9,36
70,7.5,97.7,132.11,1.09,2730.9,9.5,36.6
71,7.1,92.72,143.31,1.08,2796.7,9.8,36.4
72,7.4,96.17,131.15,1.11,2864.3,9.5,36.3
73,7,98.77,147.17,1.09,2775.6,10,36.6
