Unnamed: 0,F_f,F_u,F_in,rho_u,T_o,tau_imp,h_bm
0.0,7.3,98.55,135.37,1.06,2753.1,10.0,138.9
1.0,7.1,97.45,149.87,1.05,,9.5,
2.0,7.1,99.44,147.23,1.11,2806.0,9.7,36.2
3.0,7.1,90.18,150.0,1.09,2828.6,,36.0
4.0,,99.16,133.47,1.1,3057.5,9.7,36.0
5.0,7.0,94.44,139.42,,2883.9,9.9,36.5
8609.33,7.2,-9.819999999999993,,101.11,2927.7,9.7,36.6
7.0,7.3,,140.27,1.06,3030.2,9.9,36.2
8.0,7.5,95.51,135.65,-98.95,2883.4,9.5,36.1
9.0,7.0,91.31,,1.11,2712.1,9.5,138.9
10.0,7.4,93.48,131.53,1.07,3060.9,9.7,36.6
11.0,,92.16,147.44,1.06,2763.2,10.2,36.4
12.0,7.0,90.89,147.38,1.09,3000.1,10.0,36.0
13.0,7.2,91.63,134.68,1.09,2782.4,9.8,36.5
14.0,7.4,98.39,255.3056,1.06,3072.3,9.8,
,7.0,97.45,133.91,1.1,2714.3,9.7,36.5
,7.4,95.24,148.61,1.07,2905.8,9.5,36.0
17.0,,98.73,135.51,1.09,2807.3,9.5,36.5
18.0,7.5,,142.41,101.11,3091.0,9.5,36.5
19.0,7.3,98.19,136.82,1.1,3101.5,9.6,36.6
,7.5,99.77,132.32,-98.95,3065.6,9.8,36.6
21.0,7.1,97.54,,1.08,,9.6,36.2
22.0,7.5,99.3,255.3056,-98.95,2808.7,10.2,138.9
23.0,7.0,91.55,138.94,1.09,3920.2799999999993,10.2,36.1
24.0,7.5,97.88,131.61,1.05,2841.8,9.5,36.3
25.0,7.0,95.5,131.64,1.08,2867.9,9.9,36.8
26.0,7.5,95.26,150.94,1.06,,9.8,36.8
27.0,7.3,90.67,134.89,1.05,2734.1,9.6,36.6
,7.1,98.16,138.48,1.11,2945.4,9.5,36.6
29.0,7.5,95.6,145.28,1.07,3102.1,10.2,36.1
30.0,7.0,91.24,136.13,1.07,3082.0,10.2,
31.0,7.1,96.39,146.37,1.11,2755.7,9.5,36.9
,7.0,98.91,136.12,1.05,2776.7,9.6,36.4
33.0,7.3,,135.78,1.07,2833.7,9.7,36.4
34.0,7.5,93.72,143.51,1.07,3067.7,10.1,36.3
35.0,7.5,94.75,140.3,1.09,2872.5,10.2,36.8
,7.1,98.55,141.16,1.06,2815.8,,36.1
37.0,7.2,92.44,137.44,1.09,3031.2,9.9,36.0
38.0,107.5,93.78,142.81,1.09,2856.2,9.5,36.4
39.0,7.1,92.77,132.56,1.07,2848.8,9.5,36.1
40.0,7.3,,134.1,1.11,2883.7,9.9,36.8
41.0,7.3,91.69,131.46,1.08,2887.1,9.6,
42.0,7.4,99.63,147.32,1.09,2907.8,9.5,36.3
43.0,7.5,91.52,144.45,1.11,2817.3,9.6,36.7
44.0,7.3,94.61,136.8,1.11,,9.5,36.1
45.0,7.4,93.37,150.68,1.05,2748.5,9.8,36.2
46.0,7.0,92.74,139.9,1.11,2976.0,9.6,36.9
,7.2,98.23,131.34,1.11,2838.5,9.9,36.8
48.0,7.5,97.71,149.91,1.07,2919.5,-90.5,36.0
49.0,7.0,96.59,30.430000000000007,1.1,2901.8,9.5,36.5
